CMPT,105,unknown,No longer offered.
CMPT,106,unknown,No longer offered.
CMPT,111,unknown,No longer offered.
CMPT,115,unknown,No longer offered.
CMPT,117,unknown,No longer offered.
CMPT,250,unknown,No longer offered.
CMPT,330,unknown,No longer offered.
CMPT,374,unknown,No longer offered.
CMPT,416,unknown,No longer offered.
CMPT,422,unknown,No longer offered.
CMPT,424,unknown,No longer offered.
CMPT,426,unknown,No longer offered.
EE,331,unknown,No longer offered.
ANTH,110,unknown,No longer offered.
ANTH,112,unknown,No longer offered.
ANTH,420,unknown,No longer offered.
ANTH,430,unknown,No longer offered.
ANTH,498,Special Topics,"Offered occasionally by visiting faculty and in other special situations to cover, in depth, topics that are not thoroughly covered in regularly offered courses."
AGEC,230,unknown,No longer offered.
ART,113,unknown,No longer offered.
ART,114,unknown,No longer offered.
ART,116,unknown,No longer offered.
ART,135,unknown,No longer offered.
ART,181,unknown,No longer offered.
ART,182,unknown,No longer offered.
ASTR,101,unknown,Currently known as ASTR 113. No longer offered.
ASTR,103,unknown,"Previously ASTR 101, currently known as ASTR 113. No longer offered. "
BPBE,230,unknown,No longer offered.
COMM,349,Introduction to Entrepreneurship,"Designed to provide both knowledge and evaluation skills needed to add value in the new venture sector of the economy. Students taking this course will acquire knowledge in respect to current concepts in entrepreneurship, primarily as it concerns the evaluation of entrepreneurs, their ventures, and the venturing environment."
PSY,480,unknown,No longer offered.
NS,105,unknown,No longer offered.
NS,106,unknown,Previously NS 110. No longer offered. 
NS,107,unknown,Currently known as INDG 107. No longer offered.
NS,110,unknown,No longer offered.
NS,200,unknown,No longer offered.
NS,203,unknown,No longer offered.
NS,207,unknown,No longer offered.
NS,208,unknown,No longer offered.
NS,210,unknown,Currently known as INDG 210. No longer offered.
NS,211,unknown,No longer offered.
NS,212,unknown,Currently known as INDG 212. No longer offered. 
NS,214,unknown,Currently known as INDG 214. No longer offered. 
NS,215,unknown,Currently known as INDG 215. No longer offered. 
NS,220,unknown,Currently known as INDG 220. No longer offered. 
NS,221,unknown,Currently known as INDG 221. No longer offered. 
NS,230,unknown,Currently known as INDG 230. No longer offered. 
NS,241,unknown,Currently known as INDG 241. No longer offered. 
NS,255,unknown,Currently known as INDG 255. No longer offered. 
NS,256,unknown,Currently known as INDG 256. No longer offered. 
NS,260,unknown,No longer offered.
NS,261,unknown,Currently known as INDG 261 and INDG 262. No longer offered. 
NS,263,unknown,No longer offered.
NS,264,unknown,Currently known as INDG 264. No longer offered. 
NS,265,unknown,Currently known as INDG 265. No longer offered. 
NS,270,unknown,Currently known as INDG 270. No longer offered. 
NS,273,unknown,Currently known as INDG 273. No longer offered. 
NS,280,unknown,Currently known as INDG 280. No longer offered. 
NS,281,unknown,Currently known as INDG 281. No longer offered. 
NS,298,unknown,Currently known as INDG 298. No longer offered. 
NS,304,unknown,No longer offered.
NS,305,unknown,No longer offered.
NS,331,unknown,Currently known as INDG 331. No longer offered. 
NS,340,unknown,Currently known as INDG 340. No longer offered. 
NS,341,unknown,Currently known as INDG 341. No longer offered. 
NS,351,unknown,Currently known as INDG 351. No longer offered. 
NS,362,unknown,Currently known as INDG 362. No longer offered. 
NS,365,unknown,No longer offered.
NS,366,unknown,Currently known as INDG 366. No longer offered. 
NS,370,unknown,Currently known as INDG 370. No longer offered. 
NS,373,unknown,Currently known as INDG 373. No longer offered. 
NS,398,unknown,Currently known as INDG 398. No longer offered. 
NS,401,unknown,No longer offered.
NS,402,unknown,No longer offered.
NS,403,unknown,No longer offered.
NS,410,unknown,Currently known as INDG 410. No longer offered. 
NS,430,unknown,Currently known as INDG 430. No longer offered. 
NS,440,unknown,Currently known as INDG 440. No longer offered. 
NS,450,unknown,Currently known as INDG 450. No longer offered. 
NS,451,unknown,Currently known as INDG 451. No longer offered. 
NS,462,unknown,No longer offered.
NS,480,unknown,No longer offered.
NS,498,unknown,Currently known as INDG 498. No longer offered. 
INDG,350,unknown,No longer offered.
CMPT,275,unknown,No longer offered.
MATH,104,Elementary Calculus,"An elementary introduction to calculus including functions, limits, derivatives, techniques of differentiation, curve sketching and maximum and minimum problems, antiderivatives and the integral."
MATH,121,Mathematical Analysis for Business and Economics,"An introduction to mathematics for business and economics students using examples from business to motivate mathematical techniques. Necessary mathematical terms and concepts are developed, but emphasis is on applications to business with sufficient theory to support applications. Topics: algebraic functions, mathematics of finance, analysis of functions, differential and integral calculus."
MATH,123,Calculus I for Engineers,"A review of basic algebraic concepts, trigonometry and functions. An introduction to limits and differential and integral calculus, max-min problems, curve sketching, related rate problems. Specifically for students in the College of Engineering."
